zodiac,area,text
cancer,work,"You can go the distance, Cancer. It might be initially challenging to feel positive about your professional journey when Mars in Pisces conjuncts Saturn in Pisces. You may have limited opportunities to travel, relocate, or try new things. However, do not let this get you down. You are incredibly intuitive, which can help you become more resourceful. Use the cosmic energy to transform your outlook on your professional journey. When you adjust your attitude and outlook, you might find that there is a world of possibilities waiting for you in your career path."
cancer,dating,"Are you feeling conflicted? Relax and your intuition will guide you even if decisions seem impossible. You could go either way on most everything today, so be open to all opportunities."
leo,daily,"Build steadily toward long-term goals as the moon continues its journey through Taurus, dearest Leo, helping you establish roots on the path toward success. You'll benefit from an expansive and lucky energy as afternoon sets in and Jupiter activates, prompting you to push beyond any restraints or obstacles that have held you back. You may also be asked to take on more responsibilities or projects, giving you an opportunity to make a mark and impress influential colleagues. Opportunities to break through barriers continue when Luna and Uranus unite, though you may need to think outside of the box."
leo,love,"You’re a lusty, hedonistic fire sign, Leo. However, whenever Jupiter, our Great Benefic, dances through an earth sign, you do find yourself acting more practically and realistically. Presently, Jupiter is dancing through the flower fields of Taurus and bringing a greater collective focus to pleasure and our senses. We will hunger more specifically for beauty, indulgence, and gratification above all else. Even though you tend to be feisty and dive headfirst into passion, easily down for a quick fling or intoxicating moment, from now until the end of May 2024, you may be more likely to slowly experience each moment rather than rushing."
leo,work,"Do not limit yourself, Leo. Financial fears and insecurities may kick in when Mars in Pisces conjuncts Saturn in Pisces. The conjunction may initially spark some hard feelings about your finances. You could easily get down on yourself when you think about your lack of opportunities, debt, credit score, and more. But you do not have to stay in this state of mind. You can use this cosmic energy to turn everything around. Maybe this will serve as a much-needed reality check that can help fuel your desire to improve your financial standing and security."
leo,dating,"This is one of those days when you should store up your energy and daydream about the future. You're not going to do a whole lot today, and it's going to feel great."
virgo,daily,"Lean closely into your spirituality, dear Virgo, as the moon continues its journey through Taurus and the sector of your chart that governs personal philosophies. Now is the time to reflect thoughtfully on your situation, relationships, and personal goals, seeking answers from the stars and within. Don't be afraid to act boldly when Jupiter stirs this afternoon, bringing some extra luck your way. Now is also a good time to score good karma points, trusting that what you put out into the universe will be returned. Watch for unexpected blessings while looking for opportunities to expand the mind when Luna and Uranus unite."
virgo,love,"Of all the zodiac signs, you are one of the most sensual and affectionate, Virgo. Excitingly, this energy will be amplified on a cosmic scale even more now! This is because our Great Benefic, Jupiter, is spinning within the flower fields of Taurus from now until the end of May 2024. You and the bull get along swimmingly because you both share many common characteristics. This is a fabulous period to pursue sensuality and intimacy at all times. If single, be sure to look for someone who is grounded, practical, and looking to build for the long haul!"
virgo,work,"You can do whatever you like, Virgo. There are times when you may feel limited by your commitments, which may occur today when Mars in Pisces conjuncts Saturn in Pisces. You could be annoyed with your contracts, responsibilities, and partnerships. Although this could be frustrating, do not let yourself be overcome with anger. Instead of letting these feelings continue, you could use this cosmic energy as fuel to turn things around. It might begin with having better professional boundaries to avoid feeling taken advantage of by your agreements and working relationships."
virgo,dating,"It's time to spend some time with the family. Sure, families can be kind of a hassle, but it's been a while and they'll be so happy to see you. And chances are you'll have fun."
libra,daily,"The energy slows down a bit as the moon continues its journey through Taurus, dear Libra, though you'll feel acutely aware of how possible change is. Use this luminary placement as an opportunity to invest further in your own evolution, allowing yourself to take the scenic route toward transformation. Luck is on your side when Jupiter activates this afternoon, especially when it comes to romantic or professional commitments. Breakthroughs could emerge in unexpected ways when Luna and Uranus unite later today, pushing you further toward a brighter future, especially when you lean into the unknown and go with the flow."
libra,love,"When it comes to a zodiac sign that loves its luxurious possessions and pretty things, that's you, Libra. You’re never afraid to splurge a little—or a lot! As our Great Benefic, Jupiter, orbits in the zodiac sign of Taurus, there will be opportunities to treat yourself to a whole host of sensual delights! Be sure to be on the lookout for gorgeous, elegant possessions. You may want them for yourself, a lover, or your long-term partner. You could also be attracting more gifts out of nowhere from now until the end of May 2024."
libra,work,"Work may not be going as you might have hoped, Libra. You could be feeling let down when Mars in Pisces conjuncts Saturn in Pisces. Maybe a work venture did not pan out. You could also simply be frustrated with your current professional position. It might be worthwhile to explore your feelings instead of ignoring them. Taking the time to understand why you are frustrated could give you food for thought about what you could do differently. It could be time to change your schedule, routine, or even your job. The choice will be yours to make!"
libra,dating,"Instead of focusing on the bigger picture, pay attention to nature today, including the sky, the clouds, and the foliage around you. It's corny, but your goodwill toward the world is meaningful."
scorpio,daily,"The Taurus moon connects with Mars and Saturn early this morning, dear Scorpio, adding a little extra pep in your step. Ride these elevated vibes as you continue through the day, inviting in all things exciting and sweet. An expansive energy offers blessings within matters of the heart when Jupiter stirs this afternoon, especially when you take a harmonious approach toward seeking or maintaining love. These vibes also pair well with personal pampering, nudging you toward a bit of self-care. A playful buzz lingers in the air later today when Luna and Uranus unite, helping you embrace unconventional dynamics."
scorpio,love,"As a fixed sign, you can be rather rigid in your particular lifestyle and perspective on life, Scorpio. Right now, our Great Benefic, Jupiter, is also orbiting within a fellow fixed sign—Taurus. This will encourage you to be more grounded, practical, and realistic in everything that you build—particularly in regard to your personal life, domestic life, and relationships. Luckily, with Jupiter in the zodiac sign of the bull, you may even have more opportunities to manifest abundance and prosperity in your life and bank accounts. Talk with your sweetheart about how you can build your wealth!"
scorpio,work,"Do you feel creatively stifled, Scorpio? Making something legendary is challenging, especially with the pressure of Mars in Pisces forming a conjunction with Saturn in Pisces. You could feel unsure of yourself, your ideas, and your talent. Since this could be challenging to work through, you may need to take a step back from your passion projects. You may feel disappointed after temporarily walking away. But taking a step back could help you clear your mind. You might find inspiration and confidence in your projects when you stop putting yourself under so much pressure."
scorpio,dating,Suddenly everything you wanted has started coming your way. Part of that is luck. But the other part is your skill and persistence. You've done a great job making sure all your dreams come true!
sagittarius,daily,"Invest in your future by working hard toward goals both long-term and immediate, dear Archer, as the moon continues its journey through Taurus. Use this energy to establish better habits that promote wellness and productive workflows, focusing on smart routines and better time management. Teamwork could get you further when Jupiter stirs this afternoon, bringing an optimistic energy to the table that's ideal for seeking growth alongside your peers. Consider breaking free from your typical patterns when Luna and Uranus unite later today, nudging you to try something new if it's rooted in healthy living."
sagittarius,love,"As our Great Benefic, Jupiter, dances in a zodiac sign ruled by Venus, you’ll be loving the vibe, Sagittarius. This is because there will be more Venusian energy radiating through the cosmos! As Jupiter expands everything that he touches, he will empower everyone with a greater desire for beauty, harmony, and luxury. These traits entice you deeply, so you can find that you're attracting more abundance everywhere that you go. Harness this glow and embrace your authenticity. You're ready for glorious, good vibes at every turn!"
sagittarius,work,"Feelings of guilt and anger may find you today, Sagittarius. You may be extra hard on yourself for sacrificing personal time for your career path when Mars in Pisces conjuncts Saturn in Pisces. It could be challenging to overcome these feelings since you might be upset with yourself for missing out on life. Instead of wallowing, you could use this cosmic energy to turn your work-life balance around. You could request a different schedule, take more time off, and establish strong boundaries to enjoy your life outside your career path."
sagittarius,dating,"Follow your mood today. If you're not feeling up to your dinner plans, cancel them. You want to be your best. It's okay to stay home and recharge every now and then."
capricorn,daily,"Follow your passions as the moon continues its journey through Taurus, dear Sea-goat, nudging you to live life authentically. Now is the time to nurture the qualities that make you stand out, allowing yourself to be seen when Jupiter stirs this afternoon. These vibes will help you gain positive attention, so be sure to embrace the spotlight. This cosmic climate also brings a whisper of luck to the air, giving you a chance to further personal goals as your star rises. Break free from your comfort zone later today when Luna and Uranus unite, bringing along your closest friends for the adventure."
capricorn,love,"With our Great Benefic, glorious Jupiter, in a fellow earth sign, you’re feeling aligned with the entire universe, Capricorn. This is because all of Taurus' earthy energies are now radiating exponentially through the cosmos. You tend to be grounded, practical, and realistic about life, and you'll find that these energies are even further amplified not only within you but all others at this time. From now until the end of May 2024, you can find that people are acting with greater integrity and graciousness and may even be of a more giving nature. Gratitude will get you far now!"
capricorn,work,"Do not let anyone get you down, Capricorn. You may have a conversation that leaves you feeling lackluster when Mars in Pisces conjuncts Saturn in Pisces. A coworker or friend may say something that makes you feel disappointed about work matters. You could even hit a dead end if you are trying to plan something. It might be initially frustrating to move past. However, you could always try to find the silver lining by redirecting your focus to other working relationships, topics of interest, and ideas. Find something positive to focus on."
capricorn,dating,"A couple things are on the table for your consideration. Instead of trying to put off dealing with them, you should just get them over with now. At least you'll feel a sense of accomplishment."
aquarius,daily,"Go slow while listening to your heart and mind, dear Aquarius, as the Taurus moon heightens emotions. Your physical self will respond more immediately to the people and situations you encounter, putting you in a compassionate yet sensitive headspace. Don't be afraid to love freely when Jupiter stirs this afternoon, investing fully into those who fill your cup with as much enthusiasm as you do theirs. Plan on doing something exciting from the comfort of home later today when Luna and Mars unite, marking the perfect excuse to redecorate, host a game night, or try a new recipe."
aquarius,love,"With our Great Benefic, mighty Jupiter, spinning like honeybees through the flower fields of Taurus, you’re feeling blessed and supported by the entire universe, Aquarius. Whenever a major planet or celestial object dances through an earth sign, you begin to sing a whole new tune. The best part about Jupiter is that he always expands that which each zodiac sign he moves through embodies. For instance, since Taurus has a great tie to self-esteem, self-worth, and how we express our authentic self-image, you will find a greater focus on these themes now until the end of May 2024. Luckily, you could feel more confident, grounded, and grateful for who you are!"
aquarius,work,"Financial frustrations may pop up today, Aquarius. As Mars in Pisces conjuncts Saturn in Pisces, you may feel increasingly frustrated with your finances. It could feel impossible to be financially stable or secure at times. Since this could be an initially frustrating transit, you should embrace your annoyances. The first step to making a difference is accepting and working through how you feel. Once you do so, you could turn your anger into motivation. You have what it takes to go after new financial avenues, stick to a budget, and reach your goals."
aquarius,dating,"You've had fun, but the chores have piled up, so get cracking! The only way to move on is to focus on the things you've been ignoring for the past few days. It'll be a relief once it's all done."
pisces,daily,"Take in your surroundings with a sense of curiosity, dear Pisces, as the moon continues its journey through grounded Taurus. Practicing gratitude can lead to unexpected blessings when Jupiter stirs this afternoon, so be sure to keep a positive attitude. This cosmic climate also lends aid to your manifestation skills when you use your voice and establish stable foundations. Exciting information could change your perspective later today when Luna and Uranus unite, so be sure to stay socially available. This energy is also ideal for changing up your conversations and opening the door toward enlightenment and new friendships."
pisces,love,"Whenever our Great Benefic, mighty Jupiter, dances through an earth sign, you love the vibes, Pisces. This is because Jupiter expands everything that he touches, and the earth element nourishes, supports, and invigorates you. In fact, you feel more grounded and supported by the universe on every single level. During Jupiter’s flight through Taurus—which echoes until the end of May 2024—you’ll be ready to build your entire life and your relationships like a garden. Before you know it, you could feel like your entire reality is blooming! Call in the abundance! Manifest it!"
pisces,work,"Are you your own worst enemy, Pisces? It might feel like that when Mars in your sign conjuncts Saturn in your sign. You may have to confront your own limitations and self-sabotaging behaviors that could hinder your professional progress. As you explore these notions, try to do so with self-love and self-compassion. Beating yourself up may not get you very far. So, being kind to yourself during this process will make it easier for you to be self-accountable and self-aware. By doing so, you can help improve your ability to take control of your career path!"
pisces,dating,"Creativity figures strongly in your day, so do music and the performing arts. Find some way to incorporate romance in all this. Maybe a date to the opera? Things will turn out smashingly."
aries,daily,"The moon enters Gemini to bring forth your inquisitive side, dearest Ram, supporting your intellect and conversational skills. Share ideas on a larger scale when Luna blows a kiss to Pluto, connecting with your community far and wide. Acquaintances could evolve into friendships under this cosmic climate, making it a good time to socialize. Try not to be discouraged if the past makes a resurgence later today when Mars forms an unbalanced connection to the South Node, considering how you can grow beyond history. You'll command adoration with ease when you speak up this evening and Luna aspects Venus."
aries,love,"Today is bringing rather splendid cosmic energy for you, Aries. Despite the tumultuous energy of Mercury retrograde, today actually promises clearer skies. Of all the zodiac signs, you will be granted the greatest luck, too! Mental Mercury is dancing like flower petals on a spring breeze through your zodiac sign and is drawing closer to the mighty sun—also transiting your solar first house of identity. This ensures that you will have great mental breakthroughs and a very active day ahead! Listen to your intuition and deeply contemplate where you stand in your romantic life. You will be given an opportunity to speak up for what matters most to you."
aries,work,"A breakthrough may occur today, Aries. Since April 1, Mercury retrograde has caused you to be more conscientious of your professionalism, identity, and appearance. You might have struggled with insecurity during this time. Luckily, you might have an idea of what you can do to build your confidence back up when Mercury retrograde in your sign conjuncts the sun in your sign. You may realize what you need to change to feel good about yourself as a hardworking professional. Build yourself up during this cosmic energy to feel more self-assured in your work life."
aries,dating,You and you-know-who have been flirting for a while now. The big question is will it ever turn into something more? Make your move today. Invite them to do something with you in the near future.
taurus,daily,"The moon takes its final steps through your sign, dearest Taurus, migrating into chatty Gemini and your solar second house early this morning. You should feel more alert and connected with the present, using this luminary placement as an opportunity to ground and focus on manifestation. Step into more authoritative roles when it comes to pursuing success when Pluto stirs, offering empowerment when you dare to push the envelope. Watch out for distraction when Mars and the South Node form an unbalanced connection, threatening to put you behind at work. Do something luxurious to calm the mind when Luna aspects Venus later tonight."
taurus,love,"Profound and powerful revelations could be coming to you today, Taurus. This is because mental Mercury, our cosmic messenger planet, is dancing into a conjunction with the mighty sun. Both of them will be meeting in your solar twelfth house of the unconscious, meaning your dreams could be revealing deeply important wisdom and insight in regards to where you currently stand in your romantic life. Listen to what the universe is telling you, as your intuition will be right on the nose. If you sense something is great, you’re right. If you sense something is wrong, you’re also right."
taurus,work,"What do you need to work on, Taurus? Your mental health may be more strained ever since Mercury stationed retrograde on April 1. Work stressors, financial strains, and coworkers may weigh more heavily on you. Since it could be more challenging to maneuver, you may need to change how you cope. Luckily, you may have a breakthrough in what you can work on when Mercury retrogrades in Aries and conjuncts the sun in Aries. Maybe you need a mental health day to regroup, or it could be time to change your habits to alleviate your mental load at work."
taurus,dating,"Certain flirtatious individuals might not know how to take eye contact to the next level. Coyness is adorable, isn't it? It's on your shoulders to strike up a conversation."
gemini,daily,"Words of wisdom could find you through the dream realms, dear Gemini, as the Taurus moon connects with Neptune before drifting into your sign. Your intuition continues to grow when Luna blows a kiss to Pluto, helping you better understand the quiet mysteries of our universe, especially when you tap into your spirituality. This energy also creates movement on your path toward self-improvement, nudging you to lean into transformation. Be mindful of any self-restricting patterns you've been repeating when Mars and the South Node form an unbalanced connection, taking care to break these cycles. Your social sphere benefits from a cosmic uplifting when Venus stirs later tonight."
gemini,love,"Prepare for an exhilarating day, Gemini. Despite navigating the topsy-turvy energy of Mercury retrograde, today is going to be much more fluid with clearer energy for you to face. Mental Mercury, the planet of logic and communication and your planetary ruler, will dance into the heart of the mighty sun. This is known as a conjunction. This will give you excellent clarity, insight, and wisdom. Listen to what your intuitive and emotional messages are telling you, and find a way to articulate that to those that you care about. When it comes to your romantic life, this may be a great day to discuss your long-term goals and aspirations with your sweetheart."
gemini,work,"Who can you trust in your work life, Gemini? You might have been unsure about a few connections in your greater professional community since Mercury stationed retrograde on April 1. Someone might be acting strangely these past few weeks. Since your suspicions are up, you may have some sort of breakthrough when Mercury retrograde in Aries conjuncts the sun in Aries today. The connection could do or say something that confirms what you were picking up on. Better yet, they could also do something that puts your worries or suspicions to rest."
gemini,dating,"Save yourself the energy and try not to get involved. Some of your friends might be squabbling, but it's nothing that won't go away in a day or two. Stay neutral and bygones will be bygones soon."
cancer,daily,"Spiritual visitations could find you in the dream realms, dear Cancer, thanks to a sweet connection between the Taurus moon and Neptune early this morning. Ground in your subconscious once Luna migrates into Gemini, pushing you to seek new personal truths. You'll have a chance to go deep with someone important when Luna and Pluto align, giving you a chance to transform the way you see one another. New commitments could also be on the horizon, though you should avoid showing all your cards at once. Practice self-care while meditating on your long-term goals when Venus stirs later tonight."
cancer,love,"Despite the ongoing energy of Mercury retrograde, today is bringing a calm in the earthquake, Cancer. In fact, you will likely enjoy today quite a bit as mental Mercury, our cosmic messenger planet of the mind and communication, slow dances up into the heart of the mighty sun. While this technically could bring a lot of your attention to your public standing, long-term goals, and ambitions, this would be a good time to assess how you can make love a part of your legacy. Talk with your partner about how you can both work as a team to build the empire you’ve always wanted."
cancer,work,"What do you want to do with your career path, Cancer? You might have been in a tailspin these last few weeks thanks to Mercury retrograde. Since April 1, you might have felt unsure about your career path, success, and reputation. Thankfully, you have a chance to lay some worries to rest when Mercury retrograde in Aries conjuncts the sun in Aries. The conjunction may provide you with much-needed clarity. You may feel like you know what to do with your career path, and could feel better about how you are known in your industry."
cancer,dating,"For a while there you were working your magic from behind the scenes, but all of a sudden the spotlight is on you. Just keep doing what you've always done. And don't forget to smile!"
leo,daily,"Your social antenna goes up as the moon enters chatty Gemini, sweet Lion, putting you in a friendly and outgoing mood. Use this energy to forge new alliances while continuing to invest in relationships you hope to strengthen. Matters of the heart also benefit from a cosmic boost when Luna blows a kiss to Pluto, and technology can help bring you closer to your latest crush. If you're already coupled up, consider using this energy to merge friend groups or share connections. Look for camaraderie with your spiritual or philosophical community later tonight when Venus activates to promote soul bonds."
leo,love,"Dance through the heavenly fields before your feet today, Leo. Today should bring a much more pleasant vibe despite the continued gale of Mercury’s retrograde phase. Mental Mercury, our comic messenger planet of the mind and communication, is rolling backward to meet the mighty sun in your solar ninth house of expansion. This would be a magnificent day to plan long-distance travel with your sweetheart or even set off on a trip. With these two powerhouses united, you’re ensured to see all of the details and have an exhilarating time!"
leo,work,"Moving forward is not easy, Leo. Since April 1, you may have felt unsure about your professional journey thanks to Mercury retrograde. This retrograde could have caused you to feel unsure about your next steps. You may have experienced more troubles with traveling, relocating, or taking on new experiences for your line of work. Luckily, you may have a breakthrough today when Mercury retrograde in Aries conjuncts the sun in Aries. You may have some sort of idea of what you want to do next during this transit. It could point you in the right direction with your professional journey."
leo,dating,"You're feeling great, and your thoughts are clearer today than they have been in a long time. Plus, you've been honing your aim. Now you just have to figure out who to go after."
virgo,daily,"A harmonious and spiritually charged energy washes over you in the very early hours, dear Virgo, as the Taurus moon and Neptune align. Allow your optimism to grow by acknowledging pleasant dreams or taking a few moments in quiet contemplation before starting the day. As Luna begins her journey through curious Gemini, you'll be looking for ways to further educate yourself in professional matters. Invest in your mind by cultivating new skills when Pluto stirs, gaining more experience as you climb to great heights. Reflect on what you hope to manifest as Venus activates tonight, implementing new structures to help you reach long-term aspirations."
virgo,love,"Get ready for gorgeous revelations today, Virgo. In fact, you are likely to see major mental breakthroughs or discussions around intimacy, sexuality, or even shared assets. Working as a team with your significant other will be of paramount concern. The best part of this is that you could truly make sure that you're growing and prospering together—as well as seeing eye to eye. If, for some reason, you've been going through a separation from a partner, you may finally reach a settlement and agree to terms today. Finally, you can both proceed to the next level as you leave the pain behind."
virgo,work,"What can you do differently, Virgo? You may have felt like you are in a financial tailspin these last few weeks. Ever since Mercury stationed retrograde on April 1, you may have struggled to feel empowered and in control of your money. Luckily, you could break free from this when Mercury retrograde in Aries conjuncts the sun in Aries. The conjunction might help you figure out what you can do to change your financial course of action. You may realize that you have to course-correct your habits or financial patents to create more abundance in your life."
virgo,dating,"It's okay to rely on your friends for support when you're out on a limb, but flirting with you-know-who isn't a bad move either. Be casual about it and they won't even pick up on what's happening."
libra,daily,"As the moon drifts into Gemini and the sector of your chart that governs higher thinking, you'll notice your perspective shift as wisdom blossoms. Use this energy to look beyond yourself and your current situation, sweet Libra, peering beyond the veil to receive guidance and blessings from the divine. The desire to reinvent yourself and grow as a creative will be pronounced when Luna blows a kiss to Pluto, encouraging you to evolve into something bigger. You'll have a chance to merge spirituality with romance or self-care later tonight when Venus activates to promote harmony and soul fulfillment."
libra,love,"One of the most important periods of the year for partnership has arrived, Libra. Mental Mercury, the planet of the mind and communication, will slowly take the hand of the sun and join in a sweet embrace. This will take place directly across the sky from you in your solar seventh house of partnerships. This means that if you'd like to have a heart-to-heart, make a promise, finalize an agreement, or truly see eye to eye, the two of you could forge a pact that lasts forever. If single, use this energy to set up dates with suitors who possess long-term potential and are also looking for the one."""
libra,love,"One of the most important periods of the year for partnership has arrived, Libra. Mental Mercury, the planet of the mind and communication, will slowly take the hand of the sun and join in a sweet embrace. This will take place directly across the sky from you in your solar seventh house of partnerships. This means that if you'd like to have a heart-to-heart, make a promise, finalize an agreement, or truly see eye to eye, the two of you could forge a pact that lasts forever. If single, use this energy to set up dates with suitors who possess long-term potential and are also looking for the one."""""
libra,work,"What do you want to do with your commitments, Libra? Ever since Mercury stationed retrograde on April 1, you may have had second thoughts about your arrangements. You could have felt unsure about your partnerships, contracts, responsibilities, and more these last few weeks. Thankfully, you may have some sort of breakthrough about what you want to do when Mercury retrograde in Aries conjuncts the sun in Aries today. The conjunction could give you food for thought about how you want to handle your commitments and working relationships from here on out."
libra,dating,"You can't run a marathon every day. Some days you have to settle for a walk around the block. And besides, the walk around the block can be really beautiful. Ease up a bit."
scorpio,daily,"Your wits sharpen as the moon migrates into Gemini, dear Scorpio, helping you gain awareness of your current situation and what must change. Consider how destruction can act as a form of nurturing and self-preservation when Pluto activates, finding the strength to let go of that or who is no longer serving your highest good. Try not to revert to any habits or thought processes that have led to self-doubt in the past as Mars and the South Node form an unbalanced connection. Luckily, you'll feel inspired to step into more elevated behaviors and routines when Venus stirs later tonight."
scorpio,love,"Don’t worry about Mercury retrograde drama today, Scorpio. In fact, good news lies ahead! Mental Mercury, our cosmic messenger planet of the mind and communication, is going to cozy up with the mighty sun today. This ensures that you’ll have clear communication with everyone at this time—and could even have a profound heart-to-heart with your one and only. In fact, discussing your work-life balance with your partner and how you can make more time for romance and fun may be an excellent use of this energy. Remember that pleasure isn't a reward. It should always be present in our lives."
scorpio,work,"It might be time to change something in your work life, Scorpio. You may have felt like something has to give since Mercury retrograde began on April 1. Maybe the stressors at work are showing you that you need to change your habits, routine, or even your job. But you may not know where to start or what to do. Luckily, you could have a breakthrough in your work life when Mercury retrograde in Aries conjuncts the sun in Aries today. The cosmic energy may help you figure out what you need to change to be successful."
scorpio,dating,"The world is vast and beautiful. Let yourself get lost in a daydream about an exotic expedition, maybe across a couple of continents, to a land where you don't speak the language."
sagittarius,daily,"Look toward the lighter side of life as the moon enters Gemini, dear Archer, opening pathways toward harmony and connection while activating the sector of your chart that governs love. Don't be afraid to reveal personal truths in order to establish mutual trust with someone special when Pluto stirs, encouraging you to hold profound conversations. You'll also have a chance to evolve your most important relationships through open and honest communication. Good vibes flow freely later this evening when Luna blows a kiss to Venus, providing an opportunity to have fun while receiving adoration as you embrace your most authentic and outgoing self."
sagittarius,love,"Prepare for an absolutely gorgeous period today, Sagittarius. In fact, you'll be experiencing a glorious moment for true love, romance, and fertility! Mental Mercury, our cosmic messenger planet of the mind and communication, will caress the mighty sun and make love in your solar fifth house. This guarantees a significant breakthrough around matters of the heart for you, filling you with euphoria and sweetness. If single, do not waste this energy: set up a memorable date with a sweetheart, preferably close to water or dining out beneath the stars. You could soon realize you've found the one."
sagittarius,work,"What can you do with your passion, Sagittarius? Figuring out your next steps has not been easy with Mercury retrograde going on the last few weeks. You may have experienced a creative blockage or felt unsure about pursuing an exciting opportunity in your work life. Thankfully, you may know what to do next after Mercury retrograde in Aries conjuncts the sun in Aries today. The cosmic energy may encourage you to think about your professional passions and creative ventures in a new light. By the end of today, your creativity may resume with full force!"
sagittarius,dating,"Everyone has different ideas about how things should go, especially you. And it's enough to drive a person crazy. For the sake of your relationships with everyone involved, be as flexible as possible."
